Obesity,,,,ab_c
PC(O-18:1(9Z)/18:1(11Z)),HMDB0013428,CCCCCCCC\C=C/CCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCC\C=C/CCCCCC,10.9 +/- 3.0uM,8.4
PC(O-18:1(9Z)/18:1(11Z)),HMDB0013428,CCCCCCCC\C=C/CCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCC\C=C/CCCCCC,10.8 +/- 2.8uM,10.9
PC(O-18:1(9Z)/18:1(11Z)),HMDB0013428,CCCCCCCC\C=C/CCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCC\C=C/CCCCCC,10.0 +/- 2.8uM,10.8
PC(O-18:1(9Z)/18:1(11Z)),HMDB0013428,CCCCCCCC\C=C/CCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCC\C=C/CCCCCC,10.9 +/- 2.2uM,10
"PC(O-18:1(9Z)/18:2(9Z,12Z))",HMDB0013429,CCCCCCCC\C=C/CCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC,8.1 +/- 2.3uM,10.9
"PC(O-18:1(9Z)/18:2(9Z,12Z))",HMDB0013429,CCCCCCCC\C=C/CCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC,8.4 +/- 2.7uM,8.1
"PC(O-18:1(9Z)/18:2(9Z,12Z))",HMDB0013429,CCCCCCCC\C=C/CCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC,8.0 +/- 2.8uM,8.4
"PC(O-18:1(9Z)/18:2(9Z,12Z))",HMDB0013429,CCCCCCCC\C=C/CCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC,8.5 +/- 2.7uM,8
PC(O-18:1(9Z)/20:1(11Z)),HMDB0013431,CCCCCCCC\C=C/CCCCCCCCCC(=O)O[C@]([H])(COCCCCCCCC\C=C/CCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,3.6 +/- 2.1uM,8.5
PC(O-18:1(9Z)/20:1(11Z)),HMDB0013431,CCCCCCCC\C=C/CCCCCCCCCC(=O)O[C@]([H])(COCCCCCCCC\C=C/CCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,3.7 +/- 2.5uM,3.6
PC(O-18:1(9Z)/20:1(11Z)),HMDB0013431,CCCCCCCC\C=C/CCCCCCCCCC(=O)O[C@]([H])(COCCCCCCCC\C=C/CCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,3.5 +/- 2.0uM,3.7
PC(O-18:1(9Z)/20:1(11Z)),HMDB0013431,CCCCCCCC\C=C/CCCCCCCCCC(=O)O[C@]([H])(COCCCCCCCC\C=C/CCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,3.8 +/- 2.6uM,3.5
"PC(O-18:2(9Z,12Z)/20:0)",HMDB0013436,CCCCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COCCCCCCCC\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,3.6 +/- 2.1uM,3.8
"PC(O-18:2(9Z,12Z)/20:0)",HMDB0013436,CCCCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COCCCCCCCC\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,3.7 +/- 2.5uM,3.6
"PC(O-18:2(9Z,12Z)/20:0)",HMDB0013436,CCCCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COCCCCCCCC\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,3.5 +/- 2.0uM,3.7
"PC(O-18:2(9Z,12Z)/20:0)",HMDB0013436,CCCCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COCCCCCCCC\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,3.8 +/- 2.6uM,3.5
trans-2-Dodecenoylcarnitine,HMDB0013326,CCCCCCCCC\C=C\C(=O)O[C@@H](CCC([O-])=O)[N+](C)(C)C,0.13 +/- 0.04uM,3.8
