Obesity,,,,ab_c
"PC(22:5(4Z,7Z,10Z,13Z,16Z)/16:0)",HMDB0008659,[H][C@@](COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCC,39.8 +/- 13.1uM,0.725
"PC(22:5(4Z,7Z,10Z,13Z,16Z)/16:0)",HMDB0008659,[H][C@@](COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCC,48.5 +/- 15.2uM,39.8
"PC(22:5(4Z,7Z,10Z,13Z,16Z)/16:1(9Z))",HMDB0008660,CCCCCC\C=C/CCCCCCCC(=O)O[C@]([H])(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,51.9 +/- 20.0uM,48.5
"PC(22:5(4Z,7Z,10Z,13Z,16Z)/16:1(9Z))",HMDB0008660,CCCCCC\C=C/CCCCCCCC(=O)O[C@]([H])(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,60.5 +/- 21.7uM,51.9
"PC(22:5(4Z,7Z,10Z,13Z,16Z)/18:0)",HMDB0008661,CCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,8.83 +/- 3.47uM,60.5
"PC(22:5(4Z,7Z,10Z,13Z,16Z)/18:0)",HMDB0008661,CCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,11.27 +/- 4.24uM,8.83
"PC(22:5(4Z,7Z,10Z,13Z,16Z)/18:1(11Z))",HMDB0008662,CCCCCC\C=C/CCCCCCCCCC(=O)O[C@]([H])(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,19.0 +/- 7.8uM,11.27
"PC(22:5(4Z,7Z,10Z,13Z,16Z)/18:1(11Z))",HMDB0008662,CCCCCC\C=C/CCCCCCCCCC(=O)O[C@]([H])(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,24.5 +/- 10.0uM,19
"PC(22:5(4Z,7Z,10Z,13Z,16Z)/18:1(9Z))",HMDB0008663,CCCCCCCC\C=C/CCCCCCCC(=O)O[C@]([H])(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,19.0 +/- 7.8uM,24.5
"PC(22:5(4Z,7Z,10Z,13Z,16Z)/18:1(9Z))",HMDB0008663,CCCCCCCC\C=C/CCCCCCCC(=O)O[C@]([H])(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,24.5 +/- 10.0uM,19
"PC(22:5(4Z,7Z,10Z,13Z,16Z)/20:0)",HMDB0008668,CCCCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,0.324 +/- 0.111uM,24.5
"PC(22:5(4Z,7Z,10Z,13Z,16Z)/20:0)",HMDB0008668,CCCCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,0.383 +/- 0.146uM,0.324
"PC(22:5(4Z,7Z,10Z,13Z,16Z)/P-16:0)",HMDB0008685,CCCCCCCCCCCCCC\C=C/OC(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,39.8 +/- 13.1uM,0.383
"PC(22:5(4Z,7Z,10Z,13Z,16Z)/P-16:0)",HMDB0008685,CCCCCCCCCCCCCC\C=C/OC(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,48.5 +/- 15.2uM,39.8
"PC(22:5(4Z,7Z,10Z,13Z,16Z)/P-18:0)",HMDB0008686,CCCCCCCCCCCCCCCC\C=C/OC(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,8.83 +/- 3.47uM,48.5
"PC(22:5(4Z,7Z,10Z,13Z,16Z)/P-18:0)",HMDB0008686,CCCCCCCCCCCCCCCC\C=C/OC(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,11.27 +/- 4.24uM,8.83
"PC(22:5(4Z,7Z,10Z,13Z,16Z)/P-18:1(11Z))",HMDB0008687,CCCCCC\C=C/CCCCCCCC\C=C/OC(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,19.0 +/- 7.8uM,11.27
"PC(22:5(4Z,7Z,10Z,13Z,16Z)/P-18:1(11Z))",HMDB0008687,CCCCCC\C=C/CCCCCCCC\C=C/OC(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,24.5 +/- 10.0uM,19
"PC(22:5(4Z,7Z,10Z,13Z,16Z)/P-18:1(9Z))",HMDB0008688,CCCCCCCC\C=C/CCCCCC\C=C/OC(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,19.0 +/- 7.8uM,24.5
"PC(22:5(4Z,7Z,10Z,13Z,16Z)/P-18:1(9Z))",HMDB0008688,CCCCCCCC\C=C/CCCCCC\C=C/OC(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,24.5 +/- 10.0uM,19
"PC(22:5(7Z,10Z,13Z,16Z,19Z)/14:0)",HMDB0008689,CCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,13.5 +/- 6.1uM,24.5
"PC(22:5(7Z,10Z,13Z,16Z,19Z)/14:0)",HMDB0008689,CCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,17.9 +/- 7.9uM,13.5
"PC(22:5(7Z,10Z,13Z,16Z,19Z)/14:1(9Z))",HMDB0008690,CCCC\C=C/CCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,0.574 +/- 0.243uM,17.9
"PC(22:5(7Z,10Z,13Z,16Z,19Z)/14:1(9Z))",HMDB0008690,CCCC\C=C/CCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,0.725 +/- 0.281uM,0.574
"PC(22:5(7Z,10Z,13Z,16Z,19Z)/16:0)",HMDB0008692,CCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,39.8 +/- 13.1uM,0.725
"PC(22:5(7Z,10Z,13Z,16Z,19Z)/16:0)",HMDB0008692,CCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,48.5 +/- 15.2uM,39.8
"PC(22:5(7Z,10Z,13Z,16Z,19Z)/16:1(9Z))",HMDB0008693,CCCCCC\C=C/CCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,51.9 +/- 20.0uM,48.5
"PC(22:5(7Z,10Z,13Z,16Z,19Z)/16:1(9Z))",HMDB0008693,CCCCCC\C=C/CCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,60.5 +/- 21.7uM,51.9
"PC(22:5(7Z,10Z,13Z,16Z,19Z)/18:0)",HMDB0008694,CCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,8.83 +/- 3.47uM,60.5
"PC(22:5(7Z,10Z,13Z,16Z,19Z)/18:0)",HMDB0008694,CCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,11.27 +/- 4.24uM,8.83
"PC(22:5(7Z,10Z,13Z,16Z,19Z)/18:1(11Z))",HMDB0008695,CCCCCC\C=C/CCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,19.0 +/- 7.8uM,11.27
"PC(22:5(7Z,10Z,13Z,16Z,19Z)/18:1(11Z))",HMDB0008695,CCCCCC\C=C/CCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,24.5 +/- 10.0uM,19
"PC(22:5(7Z,10Z,13Z,16Z,19Z)/18:1(9Z))",HMDB0008696,CCCCCCCC\C=C/CCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,19.0 +/- 7.8uM,24.5
"PC(22:5(7Z,10Z,13Z,16Z,19Z)/18:1(9Z))",HMDB0008696,CCCCCCCC\C=C/CCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,24.5 +/- 10.0uM,19
"PC(22:5(7Z,10Z,13Z,16Z,19Z)/20:0)",HMDB0008701,CCCCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,0.324 +/- 0.111uM,24.5
"PC(22:5(7Z,10Z,13Z,16Z,19Z)/20:0)",HMDB0008701,CCCCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,0.383 +/- 0.146uM,0.324
"PC(22:5(7Z,10Z,13Z,16Z,19Z)/P-16:0)",HMDB0008718,CCCCCCCCCCCCCC\C=C/OC(COC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,39.8 +/- 13.1uM,0.383
"PC(22:5(7Z,10Z,13Z,16Z,19Z)/P-16:0)",HMDB0008718,CCCCCCCCCCCCCC\C=C/OC(COC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,48.5 +/- 15.2uM,39.8
"PC(22:5(7Z,10Z,13Z,16Z,19Z)/P-18:0)",HMDB0008719,CCCCCCCCCCCCCCCC\C=C/OC(COC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,8.83 +/- 3.47uM,48.5
"PC(22:5(7Z,10Z,13Z,16Z,19Z)/P-18:0)",HMDB0008719,CCCCCCCCCCCCCCCC\C=C/OC(COC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,11.27 +/- 4.24uM,8.83
"PC(22:5(7Z,10Z,13Z,16Z,19Z)/P-18:1(11Z))",HMDB0008720,CCCCCC\C=C/CCCCCCCC\C=C/OC(COC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,19.0 +/- 7.8uM,11.27
"PC(22:5(7Z,10Z,13Z,16Z,19Z)/P-18:1(11Z))",HMDB0008720,CCCCCC\C=C/CCCCCCCC\C=C/OC(COC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,24.5 +/- 10.0uM,19
"PC(22:5(7Z,10Z,13Z,16Z,19Z)/P-18:1(9Z))",HMDB0008721,CCCCCCCC\C=C/CCCCCC\C=C/OC(COC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,19.0 +/- 7.8uM,24.5
"PC(22:5(7Z,10Z,13Z,16Z,19Z)/P-18:1(9Z))",HMDB0008721,CCCCCCCC\C=C/CCCCCC\C=C/OC(COC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,24.5 +/- 10.0uM,19
"PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/14:0)",HMDB0008722,CCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,0.574 +/- 0.243uM,24.5
"PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/14:0)",HMDB0008722,CCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,0.725 +/- 0.281uM,0.574
"PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/16:0)",HMDB0008725,CCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,51.9 +/- 20.0uM,0.725
"PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/16:0)",HMDB0008725,CCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,60.5 +/- 21.7uM,51.9
"PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:0)",HMDB0008727,CCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,19.0 +/- 7.8uM,60.5
"PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:0)",HMDB0008727,CCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,24.5 +/- 10.0uM,19
"PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/P-16:0)",HMDB0008751,CCCCCCCCCCCCCC\C=C/OC(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,51.9 +/- 20.0uM,24.5
"PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/P-16:0)",HMDB0008751,CCCCCCCCCCCCCC\C=C/OC(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,60.5 +/- 21.7uM,51.9
"PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/P-18:0)",HMDB0008752,CCCCCCCCCCCCCCCC\C=C/OC(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,19.0 +/- 7.8uM,60.5
"PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/P-18:0)",HMDB0008752,CCCCCCCCCCCCCCCC\C=C/OC(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,24.5 +/- 10.0uM,19
PC(24:0/14:0),HMDB0008755,[H][C@@](COC(=O)CCCCCCCCCCCCCCCCCCCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCC,2.39 +/- 0.94uM,24.5
PC(24:0/14:0),HMDB0008755,[H][C@@](COC(=O)CCCCCCCCCCCCCCCCCCCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCC,2.48 +/- 0.81uM,2.39
PC(24:0/18:0),HMDB0008760,[H][C@@](COC(=O)CCCCCCCCCCCCCCCCCCCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,0.470 +/- 0.173uM,2.48
PC(24:0/18:0),HMDB0008760,[H][C@@](COC(=O)CCCCCCCCCCCCCCCCCCCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,0.488 +/- 0.158uM,0.47
PC(24:0/18:1(11Z)),HMDB0008761,CCCCCCCCCCCCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCC\C=C/CCCCCC,0.242 +/- 0.097uM,0.488
PC(24:0/18:1(11Z)),HMDB0008761,CCCCCCCCCCCCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCC\C=C/CCCCCC,0.250 +/- 0.084uM,0.242
PC(24:0/18:1(9Z)),HMDB0008762,CCCCCCCCCCCCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CCCCCCCC,0.242 +/- 0.097uM,0.25
PC(24:0/18:1(9Z)),HMDB0008762,CCCCCCCCCCCCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CCCCCCCC,0.250 +/- 0.084uM,0.242
"PC(24:0/18:2(9Z,12Z))",HMDB0008763,CCCCCCCCCCCCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC,0.165 +/- 0.066uM,0.25
"PC(24:0/18:2(9Z,12Z))",HMDB0008763,CCCCCCCCCCCCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC,0.170 +/- 0.066uM,0.165
"PC(24:0/18:4(6Z,9Z,12Z,15Z))",HMDB0008766,CCCCCCCCCCCCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC\C=C/C\C=C/C\C=C/C\C=C/CC,0.172 +/- 0.059uM,0.17
"PC(24:0/18:4(6Z,9Z,12Z,15Z))",HMDB0008766,CCCCCCCCCCCCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC\C=C/C\C=C/C\C=C/C\C=C/CC,0.185 +/- 0.060uM,0.172
PC(24:0/P-18:0),HMDB0008785,CCCCCCCCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)O\C=C/CCCCCCCCCCCCCCCC,0.470 +/- 0.173uM,0.185
PC(24:0/P-18:0),HMDB0008785,CCCCCCCCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)O\C=C/CCCCCCCCCCCCCCCC,0.488 +/- 0.158uM,0.47
PC(24:0/P-18:1(11Z)),HMDB0008786,CCCCCCCCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)O\C=C/CCCCCCCC\C=C/CCCCCC,0.242 +/- 0.097uM,0.488
PC(24:0/P-18:1(11Z)),HMDB0008786,CCCCCCCCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)O\C=C/CCCCCCCC\C=C/CCCCCC,0.250 +/- 0.084uM,0.242
PC(24:0/P-18:1(9Z)),HMDB0008787,CCCCCCCCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)O\C=C/CCCCCC\C=C/CCCCCCCC,0.242 +/- 0.097uM,0.25
PC(24:0/P-18:1(9Z)),HMDB0008787,CCCCCCCCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)O\C=C/CCCCCC\C=C/CCCCCCCC,0.250 +/- 0.084uM,0.242
PC(24:1(15Z)/16:1(9Z)),HMDB0008792,CCCCCCCC\C=C/CCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CCCCCC,0.296 +/- 0.142uM,0.25
PC(24:1(15Z)/16:1(9Z)),HMDB0008792,CCCCCCCC\C=C/CCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CCCCCC,0.297 +/- 0.119uM,0.296
PC(24:1(15Z)/18:0),HMDB0008793,CCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCCCCCCCCC\C=C/CCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,0.242 +/- 0.097uM,0.297
PC(24:1(15Z)/18:0),HMDB0008793,CCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCCCCCCCCC\C=C/CCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,0.250 +/- 0.084uM,0.242
PC(24:1(15Z)/18:1(11Z)),HMDB0008794,CCCCCCCC\C=C/CCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCC\C=C/CCCCCC,0.165 +/- 0.066uM,0.25
PC(24:1(15Z)/18:1(11Z)),HMDB0008794,CCCCCCCC\C=C/CCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCC\C=C/CCCCCC,0.170 +/- 0.066uM,0.165
PC(24:1(15Z)/18:1(9Z)),HMDB0008795,CCCCCCCC\C=C/CCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CCCCCCCC,0.165 +/- 0.066uM,0.17
PC(24:1(15Z)/18:1(9Z)),HMDB0008795,CCCCCCCC\C=C/CCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CCCCCCCC,0.170 +/- 0.066uM,0.165
"PC(24:1(15Z)/18:3(6Z,9Z,12Z))",HMDB0008797,CCCCCCCC\C=C/CCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC\C=C/C\C=C/C\C=C/CCCCC,0.172 +/- 0.059uM,0.17
"PC(24:1(15Z)/18:3(6Z,9Z,12Z))",HMDB0008797,CCCCCCCC\C=C/CCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC\C=C/C\C=C/C\C=C/CCCCC,0.185 +/- 0.060uM,0.172
"PC(24:1(15Z)/18:3(9Z,12Z,15Z))",HMDB0008798,CCCCCCCC\C=C/CCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/C\C=C/CC,0.172 +/- 0.059uM,0.185
"PC(24:1(15Z)/18:3(9Z,12Z,15Z))",HMDB0008798,CCCCCCCC\C=C/CCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/C\C=C/CC,0.185 +/- 0.060uM,0.172
"PC(24:1(15Z)/18:4(6Z,9Z,12Z,15Z))",HMDB0008799,CCCCCCCC\C=C/CCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC\C=C/C\C=C/C\C=C/C\C=C/CC,0.324 +/- 0.111uM,0.185
"PC(24:1(15Z)/18:4(6Z,9Z,12Z,15Z))",HMDB0008799,CCCCCCCC\C=C/CCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC\C=C/C\C=C/C\C=C/C\C=C/CC,0.383 +/- 0.146uM,0.324
PC(24:1(15Z)/P-18:0),HMDB0008818,CCCCCCCCCCCCCCCC\C=C/OC(COC(=O)CCCCCCCCCCCCC\C=C/CCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,0.242 +/- 0.097uM,0.383
PC(24:1(15Z)/P-18:0),HMDB0008818,CCCCCCCCCCCCCCCC\C=C/OC(COC(=O)CCCCCCCCCCCCC\C=C/CCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,0.250 +/- 0.084uM,0.242
PC(24:1(15Z)/P-18:1(11Z)),HMDB0008819,CCCCCCCC\C=C/CCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)O\C=C/CCCCCCCC\C=C/CCCCCC,0.165 +/- 0.066uM,0.25
PC(24:1(15Z)/P-18:1(11Z)),HMDB0008819,CCCCCCCC\C=C/CCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)O\C=C/CCCCCCCC\C=C/CCCCCC,0.170 +/- 0.066uM,0.165
PC(24:1(15Z)/P-18:1(9Z)),HMDB0008820,CCCCCCCC\C=C/CCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)O\C=C/CCCCCC\C=C/CCCCCCCC,0.165 +/- 0.066uM,0.17
PC(24:1(15Z)/P-18:1(9Z)),HMDB0008820,CCCCCCCC\C=C/CCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)O\C=C/CCCCCC\C=C/CCCCCCCC,0.170 +/- 0.066uM,0.165
PC(O-14:0/16:0),HMDB0013341,[H][C@@](COCCCCCCCCCCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCC,0.389 +/- 0.150uM,0.17
PC(O-14:0/16:0),HMDB0013341,[H][C@@](COCCCCCCCCCCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCC,0.403 +/- 0.140uM,0.389
