mid,nc.unadj,nc
HMDB0000921,0.079 +/- 0.022,0.07900 
HMDB0000925,38.81 +/- 20.37,38.81000 
HMDB0000927,0.0086–0.2152,0.11190 
HMDB0000929,54.5 +/- 9.7,54.50000 
HMDB0000930,0.869 +/- 1.14,0.86900 
HMDB0000936,0.0006 (0.0000-0.0012),0.00060 
HMDB0000937,11.15 (0.24-55.00),11.15000 
HMDB0000939,0.46 +/- 0.02,0.46000 
HMDB0000944,0.160 +/- 0.007,0.16000 
HMDB0000946,0.16 +/- 0.03,0.16000 
HMDB0000949,0.19 (0.18-0.24),0.19000 
HMDB0000950,0.281 +/- 0.033,0.28100 
HMDB0000951,>0.01,0.01000 
HMDB0000953,0.0078–0.0681,0.03790 
HMDB0000954,0.053 +/- 0.017,0.05300 
HMDB0000955,0.128 +/- 0.018,0.12800 
HMDB0000957,0.665 +/- 0.093,0.66500 
HMDB0000958,23.287 +/- 25.2,23.28700 
HMDB0000959,0-3.8,1.90000 
HMDB0000961,0.0086 (0.0000-0.0170),0.00860 
HMDB0000962,0.153 +/- 0.182,0.15300 
HMDB0000965,0.842 +/- 1.41,0.84200 
HMDB0000975,5.298,5.29800 
HMDB0000982,2.2 (0.00-5.3),2.20000 
HMDB0000990,1.0 +/- 0.2,1.00000 
HMDB0000996,1.38 +/- 0.28,1.38000 
HMDB0000998,29.0 +/- 19.0,29.00000 
HMDB0001000,0.5 +/- 0.1,0.50000 
HMDB0001032,3.47 +/- 1.20,3.47000 
HMDB0001035,0.0000086-0.000045,0.00005 
HMDB0001043,2.94 +/- 0.058,2.94000 
HMDB0001045,0.00030 (0.00018-0.00056),0.00030 
HMDB0001046,0.000284 (0.000267-0.000426),0.00028 
HMDB0001049,3.05 +/- 0.11,3.05000 
HMDB0001051,1476.0 +/- 655.0,1476.00000 
HMDB0001056,0.005 +/- 0.001,0.00500 
HMDB0001058,3.8 +/- 0.7,3.80000 
HMDB0001060,0.400 +/- 0.120,0.40000 
HMDB0001062,0.173 +/- 0.163,0.17300 
HMDB0001065,0.00033 +/- 0.00023,0.00033 
HMDB0001067,4.89 +/- 0.12,4.89000 
HMDB0001068,1.15 +/- 0.66,1.15000 
HMDB0001072,1.17 +/- 0.12,1.17000 
HMDB0001081,250.2962012,250.29620 
HMDB0001085,0.000037 +/- 0.000007,0.00004 
HMDB0001096,12.4 +/- 14.8,12.40000 
HMDB0001112,4.8 +/- 1.6,4.80000 
HMDB0001123,0.001 +/- 0.000046,0.00100 
HMDB0001127,0.00762,0.00762 
HMDB0001139,0.000053 +/- 0.000012,0.00005 
HMDB0001140,0-58522.863,58522.86300 
HMDB0001149,0.35 +/- 0.09,0.35000 
HMDB0001160,0.033 +/- 0.004,0.03300 
HMDB0001161,10.0 (0.5-20.0),10.00000 
HMDB0001165,0.14 (0.01-0.30),0.14000 
HMDB0001167,110.0 +/- 77.0,110.00000 
HMDB0001169,10.00 (0.03-20.00),10.00000 
HMDB0001170,9.9 +/- 7.0,9.90000 
HMDB0001183,5.119,5.11900 
HMDB0001185,0.0550-0.116,0.11600 
HMDB0001186,0.02 (0.00-0.08),0.02000 
HMDB0001190,7.24 +/- 1.16,7.24000 
HMDB0001198,0.000047 +/- 0.000023,0.00005 
HMDB0001201,15.0 +/- 2.0,15.00000 
HMDB0001220,0.000037 +/- 0.000012,0.00004 
HMDB0001238,0.0054,0.00540 
HMDB0001244,0.000130 +/- 0.000059,0.00013 
HMDB0001247,0.1 +/- 0.056,0.10000 
HMDB0001248,0.061 (0.044-0.078),0.06100 
HMDB0001251,0.48 +/- 0.114,0.48000 
HMDB0001256,9.97 +/- 3.26,9.97000 
HMDB0001257,10.3 +/- 3.78,10.30000 
HMDB0001259,28.5 (24.0-33.0),28.50000 
HMDB0001263,<0.2,0.20000 
HMDB0001264,2.32 +/- 0.78,2.32000 
HMDB0001270,0.4,0.40000 
HMDB0001273,56.0 +/- 7.0,56.00000 
HMDB0001276,0.007 +/- 0.002,0.00700 
HMDB0001294,530.0 +/- 800.0,530.00000 
HMDB0001302,0.0094 +/- 0.005 ,0.00940 
HMDB0001310,444.61(116.67),444.61000 
HMDB0001311,11.0 +/- 1.2,11.00000 
HMDB0001314,0.0055 +/- 0.0003,0.00550 
HMDB0001315,11900.0 (10100.0-14300.0),11900.00000 
HMDB0001316,2720,2720.00000 
HMDB0001321,1770,1770.00000 
HMDB0001325,1.5 +/- 2.0,1.50000 
HMDB0001327,1.17-3.18,3.18000 
HMDB0001333,0.0070 - 0.0190,0.00700 
HMDB0001341,160.0 +/- 14.0,160.00000 
HMDB0001348,6.90-38.0,38.00000 
HMDB0001349,0.95-2.10,2.10000 
HMDB0001352,10.8,10.80000 
HMDB0001355,0.0687-68.721,68.72100 
